Trading contract,Item Number,QTY,Date From,Date To,Material,Counter Party,UOM,Contract Type,Sales Organization,Distribution Channel,Division,Shipping Conditions,L/S Position Indicator,Mode of transport,Plant,Tolerance Schedule ID,Incoterms Sales,Incoterms Part2 Sale
0000005984,000010,5400.00,6/1/19,6/30/19,000000000000100195,0200755594,BU,GTP1,1100,10,20,,MANK,01,0010,50BU U TOL,DEL,P0010
0000006030,000010,25000.00,1/1/19,1/31/19,000000000000100195,0200049807,BU,GTP1,1100,10,20,,FMNT,01,0016,50BU U TOL,DEL,P0016
0000006052,000010,5000.00,1/1/19,1/31/19,000000000000100195,0200049807,BU,GTP1,1100,10,20,,FMNT,01,0016,50BU U TOL,DEL,P0016
0000006198,000010,5000.00,1/1/19,1/31/19,000000000000100195,0200049807,BU,GTP1,1100,10,20,,FMNT,01,0016,50BU U TOL,DEL,P0016
0000006216,000010,3000.00,5/1/19,5/31/19,000000000000100195,0200008511,BU,GTP1,1100,10,20,,FMNT,01,0016,50BU U TOL,DEL,P0016
0000006409,000010,7400.00,1/1/19,1/31/19,000000000000100195,0200853699,BU,GTP1,1100,10,20,,FMNT,01,0016,50BU U TOL,DEL,P0016
0000007873,000010,621000.00,1/1/19,1/31/19,000000000000100133,0200157750,LB,GTS1,1100,10,21,01,MANK,02,0010,25PCT O TL,DEL,C300000057
0000007876,000010,414000.00,2/1/19,2/28/19,000000000000100133,0200157750,LB,GTS1,1100,10,21,01,MANK,02,0010,25PCT O TL,DEL,C300000057
0000008120,000010,320.00,3/1/19,3/31/19,000000000000100007,0200863283,TO,GTP1,1451,10,20,,WNKL,01,1142,1TO U TOL,DEL,P1142
0000010120,000010,2860.00,3/1/19,3/31/19,000000000000100195,0200853699,BU,GTP1,1100,10,20,,FMNT,01,0016,50BU U TOL,DEL,P0016
0000010251,000010,460.00,3/1/19,3/31/19,000000000000100195,0200853878,BU,GTP1,1100,10,20,,FMNT,01,0016,50BU U TOL,DEL,P0016
0000010252,000010,263.00,3/1/19,3/31/19,000000000000100195,0200858549,BU,GTP1,1100,10,20,,FMNT,01,0016,50BU U TOL,DEL,P0016
0000010253,000010,123.00,3/1/19,3/31/19,000000000000100195,0200853874,BU,GTP1,1100,10,20,,FMNT,01,0016,50BU U TOL,DEL,P0016
0000010867,000010,2000.00,6/1/19,6/30/19,000000000000100195,0200842142,BU,GTP1,1100,10,20,,MANK,01,0010,50BU U TOL,#N/A,#N/A
0000010920,000010,4000.00,3/1/19,3/31/19,000000000000100195,0200548463,BU,GTP1,1100,10,20,,FMNT,01,0016,50BU U TOL,DEL,P0016
0000010997,000010,900.00,1/1/19,1/31/19,000000000000100195,0200098154,BU,GTP1,1100,10,20,,FMNT,01,0016,50BU U TOL,DEL,P0016
0000011033,000010,1800.00,2/1/19,2/28/19,000000000000100195,0200097675,BU,GTP1,1100,10,20,,FMNT,01,0016,50BU U TOL,DEL,P0016
0000011130,000010,5000.00,5/1/19,5/31/19,000000000000100195,0200841589,BU,GTP1,1100,10,20,,FMNT,01,0016,50BU U TOL,DEL,P0016
0000011134,000010,2500.00,5/1/19,5/31/19,000000000000100195,0200213461,BU,GTP1,1100,10,20,,FMNT,01,0016,50BU U TOL,DEL,P0016
0000011208,000010,1800.00,1/1/19,1/31/19,000000000000100195,0200507413,BU,GTP1,1100,10,20,,MANK,01,0010,50BU U TOL,DEL,P0010
0000011211,000010,900.00,3/1/19,3/31/19,000000000000100195,0200298288,BU,GTP1,1100,10,20,,MANK,01,0010,50BU U TOL,DEL,P0010
0000011212,000010,450.00,1/1/19,1/31/19,000000000000100195,0200556827,BU,GTP1,1100,10,20,,MANK,01,0010,50BU U TOL,DEL,P0010
0000011213,000010,450.00,1/1/19,1/31/19,000000000000100195,0200180916,BU,GTP1,1100,10,20,,MANK,01,0010,50BU U TOL,DEL,P0010
0000011499,000010,10000.00,5/1/19,5/31/19,000000000000100195,0200098776,BU,GTP1,1100,10,20,,MANK,01,0010,50BU U TOL,DEL,P0010
0000011500,000010,5000.00,3/1/19,3/31/19,000000000000100195,0200321048,BU,GTP1,1100,10,20,,MANK,01,0010,50BU U TOL,DEL,P0010
0000011511,000010,5000.00,3/1/19,3/31/19,000000000000100195,0200488945,BU,GTP1,1100,10,20,,MANK,01,0010,50BU U TOL,DEL,P0010
0000011548,000010,900.00,3/1/19,3/31/19,000000000000100195,0200579294,BU,GTP1,1100,10,20,,FMNT,01,0016,50BU U TOL,DEL,P0016
0000011549,000010,1800.00,3/1/19,3/31/19,000000000000100195,0200160922,BU,GTP1,1100,10,20,,FMNT,01,0016,50BU U TOL,DEL,P0016
0000011599,000010,1000.00,1/2/19,1/31/19,000000000000100195,0200511591,BU,GTP1,1100,10,20,,FMNT,01,0016,50BU U TOL,DEL,P0016
0000011621,000010,1800.00,1/1/19,1/31/19,000000000000100195,0200052438,BU,GTP1,1100,10,20,,FMNT,01,0016,50BU U TOL,DEL,P0016
0000011668,000010,400.00,6/1/19,6/30/19,000000000000100195,0200853703,BU,GTP1,1100,10,20,,FMNT,01,0016,50BU U TOL,DEL,P0016
0000011763,000010,1800.00,1/1/19,1/31/19,000000000000100195,0200197299,BU,GTP1,1100,10,20,,FMNT,01,0016,50BU U TOL,DEL,P0016
0000011863,000010,2250.00,3/1/19,3/31/19,000000000000100195,0200264305,BU,GTP1,1100,10,20,,FMNT,01,0016,50BU U TOL,DEL,P0016
0000011864,000010,2250.00,3/1/19,3/31/19,000000000000100195,0200892778,BU,GTP1,1100,10,20,,FMNT,01,0016,50BU U TOL,DEL,P0016
0000011916,000010,1500.00,1/1/19,1/31/19,000000000000100195,0200511591,BU,GTP1,1100,10,20,,FMNT,01,0016,50BU U TOL,DEL,P0016
0000012011,000010,450.00,6/1/19,6/30/19,000000000000100195,0200586669,BU,GTP1,1100,10,20,,MANK,01,0010,50BU U TOL,DEL,P0010
0000012215,000010,5000.00,3/1/19,3/31/19,000000000000100195,0200011105,BU,GTP1,1100,10,20,,MANK,01,0010,50BU U TOL,DEL,P0010
0000012216,000010,5000.00,3/1/19,3/31/19,000000000000100195,0200795560,BU,GTP1,1100,10,20,,MANK,01,0010,50BU U TOL,DEL,P0010
0000012253,000010,450.00,6/1/19,6/30/19,000000000000100195,0200586669,BU,GTP1,1100,10,20,,MANK,01,0010,50BU U TOL,DEL,P0010
0000012321,000010,5000.00,1/1/19,1/31/19,000000000000100195,0200793270,BU,GTP1,1100,10,20,,FMNT,01,0016,50BU U TOL,DEL,P0016
0000012598,000010,4000.00,1/1/19,1/31/19,000000000000100195,0200864561,BU,GTP1,1100,10,20,,FMNT,01,0016,50BU U TOL,DEL,P0016
0000012599,000010,8000.00,1/1/19,1/31/19,000000000000100195,0200858328,BU,GTP1,1100,10,20,,FMNT,01,0016,50BU U TOL,DEL,P0016
0000012610,000010,3400.00,4/1/19,4/30/19,000000000000100195,0200509968,BU,GTP1,1100,10,20,,FMNT,01,0016,50BU U TOL,DEL,P0016
0000012780,000010,5000.00,5/1/19,5/31/19,000000000000100195,0200706768,BU,GTP1,1100,10,20,,FMNT,01,0016,50BU U TOL,DEL,P0016
0000012988,000010,8000.00,1/1/19,1/31/19,000000000000100195,0200335787,BU,GTP1,1100,10,20,,MANK,01,0010,50BU U TOL,DEL,P0010
0000013101,000010,113.40,2/1/19,2/28/19,000000000000100038,0200750230,TO,GTP1,1451,10,20,,HALL,01,1059,1TO U TOL,DEL,P1059
0000013127,000010,4500.00,1/1/19,1/31/19,000000000000100195,0200228182,BU,GTP1,1100,10,20,,MANK,01,0010,50BU U TOL,DEL,P0010
0000013154,000010,2700.00,1/1/19,1/31/19,000000000000100195,0200863133,BU,GTP1,1100,10,20,,MANK,01,0010,50BU U TOL,DEL,P0010
0000013161,000010,3500.00,2/1/19,2/28/19,000000000000100195,0200163169,BU,GTP1,1100,10,20,,FMNT,01,0016,50BU U TOL,DEL,P0016
0000013345,000010,8000.00,1/1/19,1/31/19,000000000000100195,0200051749,BU,GTP1,1100,10,20,,MANK,01,0010,50BU U TOL,DEL,P0010
0000013407,000010,2500.00,5/1/19,5/31/19,000000000000100195,0200841589,BU,GTP1,1100,10,20,,FMNT,01,0016,50BU U TOL,DEL,P0016
0000013444,000010,1800.00,1/1/19,1/31/19,000000000000100195,0200911987,BU,GTP1,1100,10,20,,FMNT,01,0016,50BU U TOL,DEL,P0016
0000013557,000010,900.00,1/1/19,1/31/19,000000000000100195,0200578890,BU,GTP1,1100,10,20,,MANK,01,0010,50BU U TOL,DEL,P0010
0000013584,000010,5000.00,3/1/19,3/31/19,000000000000100195,0200321048,BU,GTP1,1100,10,20,,MANK,01,0010,50BU U TOL,DEL,P0010
0000013585,000010,5000.00,3/1/19,3/31/19,000000000000100195,0200488945,BU,GTP1,1100,10,20,,MANK,01,0010,50BU U TOL,DEL,P0010
0000013590,000010,6300.00,3/1/19,3/31/19,000000000000100195,0200108061,BU,GTP1,1100,10,20,,MANK,01,0010,50BU U TOL,DEL,P0010
0000013620,000010,1800.00,1/1/19,1/31/19,000000000000100195,0200653364,BU,GTP1,1100,10,20,,MANK,01,0010,50BU U TOL,DEL,P0010
0000013642,000010,1500.00,1/1/19,1/31/19,000000000000100195,0200894019,BU,GTP1,1100,10,20,,FMNT,01,0016,50BU U TOL,DEL,P0016
0000013643,000010,1500.00,1/1/19,1/31/19,000000000000100195,0200662480,BU,GTP1,1100,10,20,,FMNT,01,0016,50BU U TOL,DEL,P0016
0000013644,000010,5000.00,1/1/19,1/31/19,000000000000100195,0200111885,BU,GTP1,1100,10,20,,FMNT,01,0016,50BU U TOL,DEL,P0016
0000013715,000010,3600.00,3/1/19,3/31/19,000000000000100195,0200158987,BU,GTP1,1100,10,20,,MANK,01,0010,50BU U TOL,DEL,P0010
0000013825,000010,74.80,1/1/19,1/31/19,000000000000100007,0200596327,TO,GTP1,1451,10,20,,WNKL,01,1142,1TO U TOL,DEL,P1142
0000013826,000010,37.80,1/1/19,1/31/19,000000000000100007,0200596325,TO,GTP1,1451,10,20,,WNKL,01,1142,1TO U TOL,DEL,P1142
0000013922,000010,2500.00,5/1/19,5/31/19,000000000000100195,0200841589,BU,GTP1,1100,10,20,,FMNT,01,0016,50BU U TOL,DEL,P0016
0000014088,000010,550.00,1/1/19,1/31/19,000000000000100195,0200615515,BU,GTP1,1100,10,20,,MANK,01,0010,50BU U TOL,DEL,P0010
0000014215,000010,900.00,3/1/19,3/31/19,000000000000100195,0200298288,BU,GTP1,1100,10,20,,MANK,01,0010,50BU U TOL,DEL,P0010
0000014239,000010,3500.00,2/1/19,2/28/19,000000000000100195,0200163169,BU,GTP1,1100,10,20,,FMNT,01,0016,50BU U TOL,DEL,P0016
0000014324,000010,2000.00,1/1/19,1/31/19,000000000000100195,0200857798,BU,GTP1,1100,10,20,,FMNT,01,0016,50BU U TOL,DEL,P0016
0000014506,000010,2700.00,1/1/19,1/31/19,000000000000100195,0200215292,BU,GTP1,1100,10,20,,FMNT,01,0016,50BU U TOL,DEL,P0016
0000014508,000010,5000.00,1/1/19,1/31/19,000000000000100195,0200862684,BU,GTP1,1100,10,20,,FMNT,01,0016,50BU U TOL,DEL,P0016
0000014969,000010,185000.00,3/1/19,3/31/19,000000000000100133,0200157620,LB,ZVS1,1100,10,21,01,MANK,02,0010,VEH LT TOL,DEL,C300000057
0000014969,000020,185000.00,3/1/19,3/31/19,000000000000100133,0200157620,LB,ZVS1,1100,10,21,01,MANK,02,0010,VEH LT TOL,DEL,C300000057
0000014969,000030,185000.00,3/1/19,3/31/19,000000000000100133,0200157620,LB,ZVS1,1100,10,21,01,MANK,02,0010,VEH LT TOL,DEL,C300000057
0000015066,000010,27.00,1/1/19,1/31/19,000000000000100057,0200792635,STO,ZVS1,1100,10,23,01,FMNT,01,0016,VEH LT TOL,FOB,P0016
0000015066,000020,27.00,1/1/19,1/31/19,000000000000100057,0200792635,STO,ZVS1,1100,10,23,01,FMNT,01,0016,VEH LT TOL,FOB,P0016
0000015066,000030,27.00,1/1/19,1/31/19,000000000000100057,0200792635,STO,ZVS1,1100,10,23,01,FMNT,01,0016,VEH LT TOL,FOB,P0016
0000015066,000040,27.00,1/1/19,1/31/19,000000000000100057,0200792635,STO,ZVS1,1100,10,23,01,FMNT,01,0016,VEH LT TOL,FOB,P0016
0000015066,000050,27.00,1/1/19,1/31/19,000000000000100057,0200792635,STO,ZVS1,1100,10,23,01,FMNT,01,0016,VEH LT TOL,FOB,P0016
0000015066,000060,27.00,1/1/19,1/31/19,000000000000100057,0200792635,STO,ZVS1,1100,10,23,01,FMNT,01,0016,VEH LT TOL,FOB,P0016
0000015066,000070,27.00,1/1/19,1/31/19,000000000000100057,0200792635,STO,ZVS1,1100,10,23,01,FMNT,01,0016,VEH LT TOL,FOB,P0016
0000015066,000080,27.00,1/1/19,1/31/19,000000000000100057,0200792635,STO,ZVS1,1100,10,23,01,FMNT,01,0016,VEH LT TOL,FOB,P0016
0000015066,000090,27.00,1/1/19,1/31/19,000000000000100057,0200792635,STO,ZVS1,1100,10,23,01,FMNT,01,0016,VEH LT TOL,FOB,P0016
0000015066,000100,27.00,1/1/19,1/31/19,000000000000100057,0200792635,STO,ZVS1,1100,10,23,01,FMNT,01,0016,VEH LT TOL,FOB,P0016
0000015066,000110,27.00,1/1/19,1/31/19,000000000000100057,0200792635,STO,ZVS1,1100,10,23,01,FMNT,01,0016,VEH LT TOL,FOB,P0016
0000015066,000120,27.00,1/1/19,1/31/19,000000000000100057,0200792635,STO,ZVS1,1100,10,23,01,FMNT,01,0016,VEH LT TOL,FOB,P0016
0000015066,000130,27.00,1/1/19,1/31/19,000000000000100057,0200792635,STO,ZVS1,1100,10,23,01,FMNT,01,0016,VEH LT TOL,FOB,P0016
0000015066,000140,27.00,1/1/19,1/31/19,000000000000100057,0200792635,STO,ZVS1,1100,10,23,01,FMNT,01,0016,VEH LT TOL,FOB,P0016
0000015066,000150,27.00,1/1/19,1/31/19,000000000000100057,0200792635,STO,ZVS1,1100,10,23,01,FMNT,01,0016,VEH LT TOL,FOB,P0016
0000015066,000160,27.00,1/1/19,1/31/19,000000000000100057,0200792635,STO,ZVS1,1100,10,23,01,FMNT,01,0016,VEH LT TOL,FOB,P0016
0000015066,000170,27.00,1/1/19,1/31/19,000000000000100057,0200792635,STO,ZVS1,1100,10,23,01,FMNT,01,0016,VEH LT TOL,FOB,P0016
0000015066,000180,27.00,1/1/19,1/31/19,000000000000100057,0200792635,STO,ZVS1,1100,10,23,01,FMNT,01,0016,VEH LT TOL,FOB,P0016
0000015066,000190,27.00,1/1/19,1/31/19,000000000000100057,0200792635,STO,ZVS1,1100,10,23,01,FMNT,01,0016,VEH LT TOL,FOB,P0016
0000015066,000200,27.00,1/1/19,1/31/19,000000000000100057,0200792635,STO,ZVS1,1100,10,23,01,FMNT,01,0016,VEH LT TOL,FOB,P0016
0000015082,000010,10000.00,1/1/19,1/31/19,000000000000100195,0200261187,BU,GTP1,1100,10,20,,FMNT,01,0016,50BU U TOL,DEL,P0016
0000015108,000010,2000.00,3/1/19,3/31/19,000000000000100195,0200160922,BU,GTP1,1100,10,20,,FMNT,01,0016,50BU U TOL,DEL,P0016
0000015112,000010,900.00,1/1/19,1/31/19,000000000000100195,0200831048,BU,GTP1,1100,10,20,,FMNT,01,0016,50BU U TOL,DEL,P0016
0000015119,000010,900.00,1/1/19,1/31/19,000000000000100195,0200831048,BU,GTP1,1100,10,20,,FMNT,01,0016,50BU U TOL,DEL,P0016
0000015236,000010,5000.00,1/1/19,1/31/19,000000000000100195,0200335787,BU,GTP1,1100,10,20,,MANK,01,0010,50BU U TOL,DEL,P0010
0000015537,000010,2000.00,1/1/19,1/31/19,000000000000100195,0200853840,BU,GTP1,1100,10,20,,FMNT,01,0016,50BU U TOL,DEL,P0016
0000015569,000010,3000.00,1/1/19,1/31/19,000000000000100195,0200192571,BU,GTP1,1100,10,20,,MANK,01,0010,50BU U TOL,DEL,P0010
0000015728,000010,4500.00,5/1/19,5/31/19,000000000000100195,0200552391,BU,GTP1,1100,10,20,,MANK,01,0010,50BU U TOL,DEL,P0010
0000015733,000010,3500.00,5/1/19,5/31/19,000000000000100195,0200264768,BU,GTP1,1100,10,20,,MANK,01,0010,50BU U TOL,DEL,P0010
0000015743,000010,3000.00,1/1/19,1/31/19,000000000000100195,0200192571,BU,GTP1,1100,10,20,,MANK,01,0010,50BU U TOL,DEL,P0010
0000015746,000010,3500.00,5/1/19,5/31/19,000000000000100195,0200264767,BU,GTP1,1100,10,20,,MANK,01,0010,50BU U TOL,DEL,P0010
0000015793,000010,3600.00,2/1/19,2/28/19,000000000000100195,0200163169,BU,GTP1,1100,10,20,,FMNT,01,0016,50BU U TOL,DEL,P0016
0000016126,000010,2700.00,1/1/19,1/31/19,000000000000100195,0200792748,BU,GTP1,1100,10,20,,MANK,01,0010,50BU U TOL,DEL,P0010
0000016196,000010,1500.00,1/1/19,1/31/19,000000000000100195,0200511591,BU,GTP1,1100,10,20,,FMNT,01,0016,50BU U TOL,DEL,P0016
0000016384,000010,226.00,5/1/19,5/31/19,000000000000100007,0200860360,TO,GTP1,1451,10,20,,WNKL,01,1142,1TO U TOL,FOB,V200860360
0000016520,000010,900.00,1/1/19,1/31/19,000000000000100195,0200901993,BU,GTP1,1100,10,20,,MANK,01,0010,50BU U TOL,DEL,P0010
0000016653,000010,226.00,5/1/19,5/31/19,000000000000100007,0200860315,TO,GTP1,1451,10,20,,WNKL,01,1142,1TO U TOL,FOB,V200860315
0000016654,000010,226.80,1/1/19,1/31/19,000000000000100007,0200585815,TO,GTP1,1451,10,20,,WNKL,01,1142,1TO U TOL,DEL,P1142
0000016766,000010,2500.00,5/1/19,5/31/19,000000000000100195,0200841589,BU,GTP1,1100,10,20,,FMNT,01,0016,50BU U TOL,DEL,P0016
0000016788,000010,2500.00,5/1/19,5/31/19,000000000000100195,0200750970,BU,GTP1,1100,10,20,,FMNT,01,0016,50BU U TOL,DEL,P0016
0000016883,000010,5000.00,2/1/19,2/28/19,000000000000100195,0200615559,BU,GTP1,1100,10,20,,FMNT,01,0016,50BU U TOL,DEL,P0016
0000016890,000010,3400.00,1/1/19,1/31/19,000000000000100195,0200006705,BU,GTP1,1100,10,20,,FMNT,01,0016,50BU U TOL,DEL,P0016
0000016944,000010,2000.00,1/1/19,1/31/19,000000000000100195,0200504754,BU,GTP1,1100,10,20,,MANK,01,0010,50BU U TOL,DEL,P0010
0000016952,000010,1800.00,4/1/19,4/30/19,000000000000100195,0200188446,BU,GTP1,1100,10,20,,MANK,01,0010,50BU U TOL,DEL,P0010
0000016972,000010,3500.00,2/1/19,2/28/19,000000000000100195,0200163169,BU,GTP1,1100,10,20,,FMNT,01,0016,50BU U TOL,DEL,P0016
0000017172,000010,1000.00,1/1/19,1/31/19,000000000000100195,0200109305,BU,GTP1,1100,10,20,,FMNT,01,0016,50BU U TOL,DEL,P0016
0000017241,000010,1800.00,1/1/19,1/31/19,000000000000100195,0200194073,BU,GTP1,1100,10,20,,MANK,01,0010,50BU U TOL,DEL,P0010
0000017273,000010,52.00,5/1/19,5/31/19,000000000000100007,0200897935,TO,GTP1,1451,10,20,,WNKL,01,1142,1TO U TOL,FOB,V200897935
0000017358,000010,2000.00,6/1/19,6/30/19,000000000000100195,0200509968,BU,GTP1,1100,10,20,,FMNT,01,0016,50BU U TOL,DEL,P0016
0000017373,000010,15000.00,1/1/19,1/31/19,000000000000100195,0200863247,BU,GTP1,1100,10,20,,MANK,01,0010,50BU U TOL,DEL,P0010
0000017423,000010,9000.00,1/1/19,1/31/19,000000000000100195,0200215781,BU,GTP1,1100,10,20,,FMNT,01,0016,50BU U TOL,DEL,P0016
0000017514,000010,1800.00,1/1/19,1/31/19,000000000000100195,0200197299,BU,GTP1,1100,10,20,,FMNT,01,0016,50BU U TOL,DEL,P0016
0000017595,000010,3600.00,1/1/19,1/31/19,000000000000100195,0200183288,BU,GTP1,1100,10,20,,MANK,01,0010,50BU U TOL,DEL,P0010
0000017598,000010,1000.00,1/1/19,1/31/19,000000000000100195,0200532100,BU,GTP1,1100,10,20,,MANK,01,0010,50BU U TOL,DEL,P0010
0000017607,000010,900.00,1/1/19,1/31/19,000000000000100195,0200194206,BU,GTP1,1100,10,20,,FMNT,01,0016,50BU U TOL,DEL,P0016
0000017608,000010,1800.00,1/1/19,1/31/19,000000000000100195,0200194206,BU,GTP1,1100,10,20,,FMNT,01,0016,50BU U TOL,DEL,P0016
0000017776,000010,1800.00,1/1/19,1/31/19,000000000000100195,0200911987,BU,GTP1,1100,10,20,,FMNT,01,0016,50BU U TOL,DEL,P0016
0000017781,000010,3000.00,1/1/19,1/31/19,000000000000100057,0200486333,STO,GTS1,1100,10,23,01,MANK,01,0010,0PCT TOL,FOB,P0010
0000017786,000010,3000.00,2/1/19,2/28/19,000000000000100057,0200486333,STO,GTS1,1100,10,23,01,MANK,01,0010,0PCT TOL,FOB,P0010
0000017788,000010,3000.00,3/1/19,3/31/19,000000000000100057,0200486333,STO,GTS1,1100,10,23,01,MANK,01,0010,0PCT TOL,FOB,P0010
0000017790,000010,3000.00,4/1/19,4/30/19,000000000000100057,0200486333,STO,GTS1,1100,10,23,01,MANK,01,0010,0PCT TOL,FOB,P0010
0000017791,000010,3000.00,5/1/19,5/31/19,000000000000100057,0200486333,STO,GTS1,1100,10,23,01,MANK,01,0010,0PCT TOL,FOB,P0010
0000017793,000010,3000.00,6/1/19,6/30/19,000000000000100057,0200486333,STO,GTS1,1100,10,23,01,MANK,01,0010,0PCT TOL,FOB,P0010
0000017851,000010,3600.00,1/1/19,1/31/19,000000000000100195,0200586162,BU,GTP1,1100,10,20,,MANK,01,0010,50BU U TOL,DEL,P0010
0000017866,000010,2400.00,1/1/19,1/31/19,000000000000100195,0200097399,BU,GTP1,1100,10,20,,MANK,01,0010,50BU U TOL,DEL,P0010
0000017879,000010,750.00,5/1/19,5/31/19,000000000000100195,0200900033,BU,GTP1,1100,10,20,,FMNT,01,0016,50BU U TOL,DEL,P0016
0000017904,000010,453.60,1/1/19,1/31/19,000000000000100038,0200211520,TO,GTP1,1451,10,20,,HALL,01,1059,1TO U TOL,DEL,P1059
0000017939,000010,900.00,3/1/19,3/31/19,000000000000100195,0200298288,BU,GTP1,1100,10,20,,MANK,01,0010,50BU U TOL,DEL,P0010
0000018040,000010,4700.00,1/1/19,1/31/19,000000000000100195,0200180054,BU,GTP1,1100,10,20,,FMNT,01,0016,50BU U TOL,DEL,P0016
0000018132,000010,3500.00,2/1/19,2/28/19,000000000000100195,0200163169,BU,GTP1,1100,10,20,,FMNT,01,0016,50BU U TOL,DEL,P0016
0000018148,000010,3000.00,1/1/19,1/31/19,000000000000100195,0200557468,BU,GTP1,1100,10,20,,MANK,01,0010,50BU U TOL,DEL,P0010
0000018227,000010,45000.00,1/1/19,1/31/19,000000000000100110,0200639613,LB,GTS1,1100,10,21,01,MANK,03,0010,10PCT TOL,CIF,ASHD
0000018377,000010,285495.00,1/1/19,1/31/19,000000000000100276,0200900984,LB,GTS1,1100,10,21,01,MANK,03,0010,10PCT TOL,FOB,P0010
0000018379,000010,285495.00,1/1/19,1/31/19,000000000000100276,0200900984,LB,GTS1,1100,10,21,01,MANK,03,0010,10PCT TOL,FOB,P0010
